id_campus,name,name_campus,title,faculty_id,name_short
11676,"ВМПМ ІФФ","VMPM IFF","Кафедра високотемпературних матеріалів і порошкової металургії ІФФ",10095,"ВМПМ"
10151,"ЛВЧКМ ІФФ","LVCHKM IFF","Кафедра ливарного виробництва чорних і кольорових металів ІФФ",10095,"ЛВЧКМ"
10160,"МТО ІФФ","MTO IFF","Кафедра металознавства та термічної обробки ІФФ",10095,"МТО"
10199,"ФМ ІФФ","FM IFF","Кафедра фізики металів ІФФ",10095,"ФМ"
10200,"ФХОТМ ІФФ","FHOTM IFF","Кафедра фізико-хімічних основ технології металів ІФФ",10095,"ФХОТМ"
10134,"ЕтаРП ІХФ","EtaRP IHF","Кафедра екології та технології рослинних полімерів ІХФ",10096,"ЕтаРП"
10157,"МАХНВ ІХФ","MAHNV IHF","Кафедра машин та  апаратів хімічних та нафтопереробних виробництв ІХФ",10096,"МАХНВ"
12883,"ТПЗА ІХФ","TPZA IHF","Кафедра технічних та програмних засобів автоматизації ІХФ",10096,"ТПЗА"
10206,"ХПСМ ІХФ","HPSM IHF","Кафедра хімічного, полімерного і силікатного машинобудування ІХФ",10096,"ХПСМ"
12746,"КАРБ ІАТ","KARB IAT","Кафедра авіа- та ракетобудування ІАТ",12743,"КАРБ"
12745,"ККІ ІАТ","KKI IAT","Кафедра космічної інженерії ІАТ",12743,"ККІ"
12747,"КСКЛА ІАТ","KSKLA IAT","Кафедра систем керування літальними апаратами ІАТ",12743,"КСКЛА"
10235,"ІЕ ІЕЕ","IE IEE","Кафедра інженерної екології ІЕЕ",10214,"ІЕ"
10227,"АУЕК ІЕЕ","AUEK IEE","Кафедра автоматизації управління електротехнічними комплексами ІЕЕ",10214,"АУЕК"
12724,"ГІ ІЕЕ","GI IEE","Кафедра геоінженерії ІЕЕ",10214,"ГІ"
10229,"ГБ ІЕЕ","GB IEE","Кафедра геобудівництва та гірничих технологій ІЕЕ",10214,"ГБ"
10255,"ЕМОЕВ ІЕЕ","EMOEV IEE","Кафедра електромеханічного обладнання енергоємних виробництв ІЕЕ",10214,"ЕМОЕВ"
10232,"ЕП ІЕЕ","EP IEE","Кафедра електропостачання ІЕЕ",10214,"ЕП"
10245,"ОППЦБ ІЕЕ","OPPCB IEE","Кафедра охорони праці, промислової та цивільної безпеки ІЕЕ",10214,"ОППЦБ"
10254,"ТЕ ІЕЕ","TE IEE","Кафедра теплотехніки та енергозбереження ІЕЕ",10214,"ТЕ"
12937,"ВТМПМ ІМЗ","VTMPM IMZ","Кафедра високотемпературних матеріалів і порошкової металургії ІМЗ",12933,"ВТМПМ"
12940,"ЗВ ІМЗ","ZV IMZ","Кафедра зварювального виробництва ІМЗ",12933,"ЗВ"
12944,"ЛТФТТ ІМЗ","LTFTT IMZ","Кафедра лазерної техніки та фізико-технічних технологій ІМЗ",12933,"ЛТФТТ"
12935,"ЛВЧКМ ІМЗ","LVCHKM IMZ","Кафедра ливарного виробництва чорних i кольорових металiв ІМЗ",12933,"ЛВЧКМ"
12936,"МТО ІМЗ","MTO IMZ","Кафедра металознавства та термiчної обробки ІМЗ",12933,"МТО"
12943,"СТЗІП ІМЗ","STZIP IMZ","Кафедра смарт технологій з’єднань та інженерії поверхні ІМЗ",12933,"СТЗІП"
12939,"ФМ ІМЗ","FM IMZ","Кафедра фiзики металiв ІМЗ",12933,"ФМ"
12938,"ФХОТМ ІМЗ","FHOTM IMZ","Кафедра фiзико-хiмiчних основ технологiї металiв ІМЗ",12933,"ФХОТМ"
10238,"ІТМ ІТС","ITM ITS","Кафедра інформаційно-телекомунікаційних мереж ІТС",10217,"ІТМ"
12147,"ТК ІТС","TK ITS","Кафедра телекомунікацій ІТС",10217,"ТК"
10249,"ТС ІТС","TS ITS","Кафедра телекомунікаційних систем  ІТС",10217,"ТС"
10228,"ВСР ВПІ","VSR VPI","Кафедра видавнича справа і редагування ВПІ",10213,"ВСР"
10230,"КГ ВПІ","KG VPI","Кафедра графіки ВПІ",10213,"КГ"
10243,"МАПВ ВПІ","MAPV VPI","Кафедра машин і агрегатів поліграфічного виробництва ВПІ",10213,"МАПВ"
12695,"МВПГ ВПІ","MVPG VPI","Кафедра менеджменту видавничо-полiграфiчної галузі ВПІ",10213,"МВПГ"
10244,"ОВПК ВПІ","OVPK VPI","Кафедра організації видавничої справи, поліграфії та книгорозповсюдження ВПІ",10213,"ОВПК"
10247,"КР ВПІ","KR VPI","Кафедра репрографії ВПІ",10213,"КР"
10252,"КТПВ ВПІ","KTPV VPI","Кафедра технології поліграфічного виробництва ВПІ",10213,"КТПВ"
12135,"КІП ЗФ","KIP ZF","Кафедра інженерії поверхні ЗФ",10094,"КІП"
10129,"ІП ЗФ","IP ZF","Кафедра відновлювання деталей машин ЗФ",10094,"ІП"
10138,"ЕЗУ ЗФ","EZU ZF","Кафедра електрозварювальних установок ЗФ",10094,"ЕЗУ"
10145,"ЗВ ЗФ","ZV ZF","Кафедра зварювального виробництва ЗФ",10094,"ЗВ"
20007,"КЦП при ЗФ","","Кафедра цільової  підготовки при ЗФ",10094,"КЦП при ЗФ"
10236,"КІВ ММІ","KIV MMI","Кафедра інструментального виробництва ММІ",10218,"КІВ"
12133,"ІТМ ММІ","ITM MMI","Кафедра інтегрованих технологій машинобудування ММІ",10218,"ІТМ"
10231,"ДММтаОМ",DMMtaOM,"Кафедра динаміки і міцності машин та опору матеріалів ММІ",10218,"ДММтаОМ"
12882,"КМ ММІ","KM MMI","Кафедра конструювання машин ММІ",10218,"КМ"
12129,"ЛТФТТ ММІ","LTFTT MMI","Кафедра лазерної техніки та фізико-технічних технологій ММІ",10218,"ЛТФТТ"
10240,"ЛТФТТ ММІ","LTFTT  MMI","Кафедра лазерної технології, конструювання машин та матеріалознавства ММІ",10218,"ЛТФТТ"
10257,"ПГМ  ММІ","PGM  MMI","Кафедра прикладної гідроаеромеханіки та механотронік ММІ",10218,"ПГМ"
10250,"ПМ ММІ","PM MMI","Кафедра прикладної механіки ММІ",10218,"ПМ"
12777,"КТВЛА ММІ","KTVLA MMI","Кафедра технології виробництва літальних апаратів ММІ",10218,"КТВЛА"
10251,"ТМ ММІ","TM MMI","Кафедра технології машинобудування ММІ",10218,"ТМ"
10242,"ММСА ІПСА","MMSA IPSA","Кафедра математичних методів системного аналізу ІПСА",10216,"ММСА ІПСА"
10248,"СП ІПСА","SP IPSA","Кафедра системного проектування ІПСА",10216,"СП ІПСА"
12729,"ІВТ ПБФ","IVT PBF","Кафедра інформацiйно-вимiрювальної технiки ПБФ",10099,"ІВТ"
12904,"ІВТ ПБФ","IVT PBF","Кафедра інформаційно-вимірювальних технологій ПБФ",10099,"ІВТ"
12728,"АЕД ПБФ","AED PBF","Кафедра автоматизацiї експериментальних дослiджень ПБФ",10099,"АЕД"
10126,"ВП ПБФ","VP PBF","Кафедра виробництва приладів ПБФ",10099,"ВП"
10165,"ООЕП ПБФ","OOEP PBF","Кафедра оптичних та оптико-електронних приладів ПБФ",10099,"ООЕП"
10170,"ПСНК ПБФ","PSNK PBF","Кафедра приладів і систем неруйнівного контролю ПБФ",10099,"ПСНК"
10172,"ПСОН ПБФ","PSON PBF","Кафедра приладів та систем орієнтації і навігації ПБФ",10099,"ПСОН"
10173,"ПБ ПБФ","PB PBF","Кафедра приладобудування ПБФ",10099,"ПБ"
10179,"КіВРА РТФ","KiVRA RTF","Кафедра радіоконструювання та виробництва радіоелектронної апаратури РТФ",10100,"КіВРА"
10180,"РОС РТФ","ROS RTF","Кафедра радіоприймання та оброблення сигналів РТФ",10100,"РОС"
10181,"РТПС РТФ","RTPS RTF","Кафедра радіотехнічних пристроїв та систем РТФ",10100,"РТПС"
10184,"ТОР РТФ","TOR RTF","Кафедра теоретичних основ радіотехніки РТФ",10100,"ТОР"
10118,"АПЕПС ТЕФ","APEPS TEF","Кафедра автоматизації проектування енергетичних процесів та систем ТЕФ",10101,"АПЕПС"
10119,"АТЕП ТЕФ","ATEP TEF","Кафедра автоматизація теплоенергетичних процесів ТЕФ",10101,"АТЕП"
10123,"АЕСтаІТФ ТЕФ","AEStaITF TEF","Кафедра атомних електричних станцій та інженерної теплофізики ТЕФ",10101,"АЕСтаІТФ"
10188,"ТПТ ТЕФ","TPT TEF","Кафедра теоретичної та промислової теплотехніки ТЕФ",10101,"ТПТ"
10192,"ТЕУта АЕС ТЕФ","TEUtaAES TEF","Кафедра теплоенергетичних установок теплових та атомних електростанцій ТЕФ",10101,"ТЕУта АЕС"
10132,"ДР ФМФ","DR FMF","Кафедра диференціальних рівнянь ФМФ",10113,"ДР"
10141,"ЗтаЕФ ФМФ","ZtaEF FMF","Кафедра загальної та експериментальної фізики ФМФ",10113,"ЗтаЕФ"
10143,"КЗТФ ФМФ","KZTF FMF","Кафедра загальної та теоретичної фізики ФМФ",10113,"КЗТФ"
10144,"ЗФтаФТТ ФМФ","ZFtaFTT FMF","Кафедра загальної фізики та фізики твердого тіла ФМФ",10113,"ЗФтаФТТ"
10156,"КМФ ФМФ","KMF FMF","Кафедра математичної фізики ФМФ",10113,"КМФ"
10154,"МАтаТЙ ФМФ","MAtaTY FMF","Кафедра математичного аналізу та теорії ймовірностей ФМФ",10113,"МАтаТЙ"
10162,"НГІтаКГ ФМФ","NGItaKG FMF","Кафедра нарисної геометрії, інженерної та комп'ютерної графіки ФМФ",10113,"НГІтаКГ"
12951,"ІБ ФТІ","IB FTI","Кафедра інформаційної безпеки ФТІ",10220,"ІБ"
12876,"ММЗІ ФТІ","MMZI FTI","Кафедра математичних методів захисту інформації ФТІ",10220,"ММЗІ"
12872,"ПФ ФТІ","PF FTI","Кафедра прикладної фізики ФТІ",10220,"ПФ"
12874,"ФЕС ФТІ","FES FTI","Кафедра фізики енергетичних систем ФТІ",10220,"ФЕС"
12875,"ФТЗЗІ ФТІ","FTZZI FTI","Кафедра фізико-технічних засобів захисту інформації ФТІ",10220,"ФТЗЗІ"
10120,"АСОІУ ФІОТ","ASOIU FIOT","Кафедра автоматизованих систем обробки інформації та управління ФІОТ",10106,"АСОІУ"
10121,"АУТС ФІОТ","AUTS FIOT","Кафедра автоматики і управління в технічних системах ФІОТ",10106,"АУТС"
10164,"ОТ ФІОТ","OT FIOT","Кафедра обчислювальної техніки ФІОТ",10106,"ОТ"
10193,"ТК ФІОТ","TK FIOT","Кафедра технічної кібернетики ФІОТ",10106,"ТК"
10147,"ІВТ ФАКС","IVT FAKS","Кафедра інформаційно-вимірювальної техніки ФАКС",10102,"ІВТ"
10171,"ПСКЛА ФАКС","PSKLA FAKS","Кафедра приладів та систем керування літальними апаратами ФАКС",10102,"ПСКЛА"
10187,"ТМ ФАКС","TM FAKS","Кафедра теоретичної механіки ФАКС",10102,"ТМ"
12218,"КББЗЛ ФБМІ","KBBZL FBMI","Кафедра біобезпеки і здоров’я людини ФБМІ",12194,"КББЗЛ"
12211,"БМІ ФБМІ","BMI FBMI","Кафедра біомедичної інженерії ФБМІ",12194,"БМІ"
12213,"КБМК ФБМІ","KBMK FBMI","Кафедра біомедичної кібернетики ФБМІ",12194,"КБМК"
12214,"СВ ФБМІ","SV FBMI","Кафедра спортивного вдосконалення ФБМІ",12194,"СВ"
12776,"КТМБ ФБМІ","KTMB FBMI","Кафедра трансляційної медичної біоінженерії ФБМІ",12194,"КТМБ"
12215,"ФР ФБМІ","FR FBMI","Кафедра фізичної реалібітації ФБМІ",12194,"ФР"
12216,"ФВ ФБМІ","FV FBMI","Кафедра фізичного виховання ФБМІ",12194,"ФВ"
11811,"КБ ФБТ","KB FBT","Кафедра біоінформатики ФБТ",10103,"КБ"
10125,"БТІ ФБТ","BTI FBT","Кафедра біотехніки та інженерії ФБТ",10103,"БТІ"
10133,"КЕБ ФБТ","KEB FBT","Кафедра екобіотехнології та біоенергетики ФБТ",10103,"КЕБ"
10175,"ПБТ ФБТ","PBT FBT","Кафедра промислової біотехнології ФБТ",10103,"ПБТ"
10209,"АЕМС-ЕП ФЕА","AEMS-EP FEA","Кафедра автоматизації електромеханічних систем та електроприводу ФЕА",10104,"АЕМС-ЕП"
10117,"АЕ ФЕА","AE FEA","Кафедра автоматизації енергосистем ФЕА",10104,"АЕ"
10128,"ВДЕ ФЕА","VDE FEA","Кафедра відновлюваних джерел енергії ФЕА",10104,"ВДЕ"
10136,"ЕМС ФЕА","EMS FEA","Кафедра електричних мереж і систем ФЕА",10104,"ЕМС"
10137,"ЕС ФЕА","ES FEA","Кафедра електричних станцій ФЕА",10104,"ЕС"
10139,"ЕМ ФЕА","EM FEA","Кафедра електромеханіки ФЕА",10104,"ЕМ"
10185,"ТЕ ФЕА","TE FEA","Кафедра теоретичної електротехніки ФЕА",10104,"ТЕ"
10194,"ТЕВН ФЕА","TEVN FEA","Кафедра техніки та електрофізики високих напруг ФЕА",10104,"ТЕВН"
10122,"ААЕ ФЕЛ","AAE FEL","Кафедра акустики та акустоелектроніки ФЕЛ",10105,"ААЕ"
