id_campus,name,name_campus,title
10095,"ІФФ",IFF,"Інженерно-фізичний факультет"
10096,"ІХФ",IHF,"Інженерно-хімічний факультет"
12743,"ІАТ",IAT,"Інститут аерокосмічних технологій"
10214,"ІЕЕ",IEE,"Інститут енергозбереження та енергоменеджменту"
12933,"ІМЗ",IMZ,"Інститут матеріалознавства та зварювання"
10217,"ІТС",ITS,"Інститут телекомунікаційних систем"
10213,"ВПІ",VPI,"Видавничо-поліграфічний інститут"
10094,"ЗФ",ZF,"Зварювальний факультет"
10218,"ММІ",MMI,"Механіко-машинобудівний інститут"
10216,"ННК ІПСА","NNK IPSA","Навчально-науковий комплекс 'Інститут прикладного системного аналізу'"
10099,"ПБФ",PBF,"Приладобудівний факультет"
10100,"РТФ",RTF,"Радіотехнічний факультет"
10101,"ТЕФ",TEF,"Теплоенергетичний факультет"
10113,"ФМФ",FMF,"Фізико-математичний факультет"
10220,"ФТІ",FTI,"Фізико-технічний інститут"
10106,"ФІОТ",FIOT,"Факультет інформатики та обчислюваної техніки"
10102,"ФАКС",FAKS,"Факультет авіаційних і космічних систем"
12194,"ФБМІ",FBMI,"Факультет біомедичної інженерії"
10103,"ФБТ",FBT,"Факультет біотехнології і біотехніки"
10104,"ФЕА",FEA,"Факультет електроенергетики та автоматики"
10105,"ФЕЛ",FEL,"Факультет електроніки"
10107,"ФЛ",FL,"Факультет лінгвістики"
10108,"ФММ",FMM,"Факультет менеджменту та маркетингу"
10110,"ФПМ",FPM,"Факультет прикладної математики"
12046,"ФСП",FSP,"Факультет соціології і права"
10114,"ХТФ",HTF,"Хіміко-технологічний факультет"
