name,lat,lon
-18,50.447021,30.456021
402-18,50.447021,30.456021
419-18,50.447021,30.456021
432-18,50.447021,30.456021
415-18,50.447021,30.456021
207-18,50.447021,30.456021
"418а-18",50.447021,30.456021
438-18,50.447021,30.456021
323-18,50.447021,30.456021
436-18,50.447021,30.456021
"306-18 1,5",50.447021,30.456021
212-18,50.447021,30.456021
417-18,50.447021,30.456021
303-18,50.447021,30.456021
418-18,50.447021,30.456021
94-15,50.447720," 30.456686"
110-07,50.448603,30.457019
"339-а-18",50.447021,30.456021
203-18,50.447021,30.456021
227-18,50.447021,30.456021
407-18,50.447021,30.456021
431-18,50.447021,30.456021
204-18,50.447021,30.456021
301-18,50.447021,30.456021
228-18,50.447021,30.456021
230-18,50.447021,30.456021
339-18,50.447021,30.456021
411-18,50.447021,30.456021
413-18,50.447021,30.456021
302-18,50.447021,30.456021
231-18,50.447021,30.456021
"",50.448603,30.457019
337-A-18,50.447021,30.456021
534-19,50.4480855,30.4585595
"209а-18",50.447021,30.456021
536-18,50.447021,30.456021
509-18,50.447021,30.456021
537-18,50.447021,30.456021
535-18,50.447021,30.456021
306-18,50.447021,30.456021
5-13,50.447853,30.455563
538-18,50.447021,30.456021
507-18,50.447021,30.456021
512-18,50.447021,30.456021
514-18,50.447021,30.456021
513-18,50.447021,30.456021
515-18,50.447021,30.456021
"535-18 1,5",50.447021,30.456021
"-18 1,5",50.447021,30.456021
111-18,50.447021,30.456021
311-18,50.447021,30.456021
305-18,50.447021,30.456021
525-18,50.447021,30.456021
521-18,50.447021,30.456021
522-18,50.447021,30.456021
422-18,50.447021,30.456021
433-18,50.447021,30.456021
531-18,50.447021,30.456021
307-18,50.447021,30.456021
309-18,50.447021,30.456021
517-18,50.447021,30.456021
534-18,50.447021,30.456021
304-18,50.447021,30.456021
533-18,50.447021,30.456021
527-18,50.447021,30.456021
518-18,50.447021,30.456021
420-18,50.447021,30.456021
501-19,50.4480855,30.4585595
26-18,50.447021,30.456021
"339-б-18",50.447021,30.456021
200-18,50.447021,30.456021
416-18,50.447021,30.456021
2-13,50.447853,30.455563
217-18,50.447021,30.456021
337-18,50.447021,30.456021
26-13,50.447853,30.455563
"222-28 0,5",50.4470577,30.46389
325-07,50.448603,30.457019
116-28,50.4470577,30.46389
302-28,50.4470577,30.46389
311-28,50.4470577,30.46389
414-28,50.4470577,30.46389
202-24,50.44288,30.4477352
"222-28 1,5",50.4470577,30.46389
407-28,50.4470577,30.46389
406-28,50.4470577,30.46389
"414-28 1,5",50.4470577,30.46389
309-28,50.4470577,30.46389
"403-28 1,5",50.4470577,30.46389
410-28,50.4470577,30.46389
307-28,50.4470577,30.46389
219-28,50.4470577,30.46389
405-28,50.4470577,30.46389
"406-28 0,5",50.4470577,30.46389
011-28,50.4470577,30.46389
277-01,50.449306,30.460681
"409-28 1,5",50.4470577,30.46389
403-28,50.4470577,30.46389
201-28,50.4470577,30.46389
222-28,50.4470577,30.46389
409-28,50.4470577,30.46389
250-01,50.449306,30.460681
112-22,50.4459415,30.4547315
"403-28 0,5",50.4470577,30.46389
213-20,50.447054," 30.461190"
617-22,50.4459415,30.4547315
"409-28 0,5",50.4470577,30.46389
"307-28 0,5",50.4470577,30.46389
313-28,50.4470577,30.46389
"313-28 0,5",50.4470577,30.46389
