url_wiki,name
"http://wiki.kpi.ua/index.php/Українська мова за професійним спрямуванням_(20302820)","Укр.мова"
"http://wiki.kpi.ua/index.php/Іноземна мова. Практичний курс іноземної мови 2_(20302880)","Ін.мова 2"
"http://wiki.kpi.ua/index.php/Програмування - 2. Структури даних та алгоритми_(20302030)","Програмування 2"
"http://wiki.kpi.ua/index.php/Фізика - 2. Загальна фізика ІІ_(20303220)","Фізика - 2. Загальна фізика ІІ"
"http://wiki.kpi.ua/index.php/Спеціальні розділи математики - 2. Чисельні методи_(20302030)","ЧМ"
"http://wiki.kpi.ua/index.php/Вища математика - 2. Диференціальне та інтегральне числення функцій багатьох змінних_(20303240)","Вища математика 2"
"http://wiki.kpi.ua/index.php/Теорія алгоритмів_(20302030)","Теорія алгоритмів"
"http://wiki.kpi.ua/index.php/Технології машинного навчання_(20302020)","Технології машинного навчання"
"http://wiki.kpi.ua/index.php/Сучасні методи обробки масивів даних_(20302030)","Сучасні методи обробки масивів даних"
"http://wiki.kpi.ua/index.php/Теорія прийняття рішень_(20302030)","Теорія прийняття рішень"
"http://wiki.kpi.ua/index.php/Інтелектуальна власність та патентознавство - 2.  Патентознавство та набуття права_(20301250)","Патентознавство та набуття права"
"http://wiki.kpi.ua/index.php/Методологія бізнес аналізу_(20302020)","Методологія бізнес аналізу"
"http://wiki.kpi.ua/index.php/Інтелектуальна власність та патентознавство - 1. Право інтелектуальної власності_(20303370)","Право"
"http://wiki.kpi.ua/index.php/Алгоритмічне та інформаційне забезпечення інформаційно-управляючих систем_(20302020)","Алгоритмічне та інформаційне забезпечення інформаційно-управляючих систем"
"http://wiki.kpi.ua/index.php/Корпоративні інформаційні системи та технології_(20302030)","Корпор.інфор.С  і тех"
"http://wiki.kpi.ua/index.php/Управління IT-проектами_(20302020)","Управління IT-проектами"
"http://wiki.kpi.ua/index.php/Практикум з іншомовного наукового спілкування_(20302880)","Практикум з іншомовного наукового спілкування"
"http://wiki.kpi.ua/index.php/Проектування програмних засобів доповненої реальності_(20302020)","Проектування програмних засобів доповненої реальності"
"http://wiki.kpi.ua/index.php/Основи сталого розвитку_(20301330)","Основи сталого розвитку"
"http://wiki.kpi.ua/index.php/Технології електронної комерції_(20302030)","Технології електронної комерції"
"http://wiki.kpi.ua/index.php/Наукова робота за темою магістерської дисертації - 2. Науково-дослідна робота за темою магістерської дисертації_(20302030)","Наук. дослідження 2"
"http://wiki.kpi.ua/index.php/Організація науково-інноваційної діяльності_(20302020)","Організація науково-інноваційної діяльності"
"http://wiki.kpi.ua/index.php/Філософські засади наукової діяльності - 2._(20303320)","Філософські засади наукової діяльності - 2."
