3,teacher_text,"<b>Ви заповнюєте анкету викладача {teacher.name}</b>

Відповідайте на кожне питання неупереджено: так буде краще видно переваги та недоліки викладача. Загальне ставлення ви завжди зможете виразити в останньому питанні."
4,teacher_type_LECTOR,Лекції
5,teacher_type_PRACTIC,Практики
6,teacher_type_LECTOR_PRACTIC,Лекції та практики
7,choose_teacher_type,"Оберіть, що у вас вів викладач."
8,open_question_text,"<b>Вільний мікрофон. </b>
<i>Короткі зауваження, пропозиції або історія про викладача. (Це може бути опубліковано анонімно)</i>

Натисніть /skip, щоб пропустити."
9,confirm_open_question_text,"Щоб зберегти анкету, натисніть /confirm.
Якщо ви хочете змінити відповідь - надішліть її."
10,result_save_error,"Помилка. Відпишіть, будь-ласка, у @veraPetrovna_bot"
11,result_save_success,Результат збережено.
12,same_teacher_again,⚠️Ви вже проходили анкету цього викладача. Результат буде перезаписано.
13,group_teachers_text,"Привет, это анкета с опросниками о преподавателях, которые вели у группы в прошлом семестре.
  
В опросе оценивают преподавателей и оставляют о них отзывы, чтобы об этом узнали. 
На каждый вопрос отвечайте непредвзято - так будет видно достоинства и недостатки каждого преподавателя. Личное отношение оценивайте в последнем вопросе.

Группа: <b>{group_name}</b>
{teachers}

Результаты будет здесь: {results_link}
Опрос продлится до <b>14 февраля</b>."
14,unknown_cmd,"Щоб почати опитування, перейдіть за посиланнями, яке вам надішле староста."
15,btn_reset_2g1u,Анулювати попередні анкети
16,two_group_one_user,"⛔️Ви до цього вже заповнювали анкети, використовуючи посилання групи <b>{other_group}</b>.
Зараз Ви намагаєтеся пройти анкету для групи <b>{cur_group}</b>.

Якщо Ви заповнили попередню анкету випадково - натисніть кнопку ""Анулювати попередні анкети"".
Якщо Ви перейшли за <i>цим</i> посиланням випадково - ігноруйте це повідомлення і продовжуйте проходити анкети для {other_group}."
17,teacher_type_chosen,"Ви обрали, що викладач вів у Вас {type}"
18,other_teachers_in_group_text,"Викладачі в групі {group_name}, анкети яких Ви ще не заповнили: 
{teachers}"
19,wrong_link,"Посилання, за яким ви перейшли, не дійсне"
20,callback_no_state,"Ця кнопка в поточному контексті нічого не робить. Мабуть, ви не почали опитування."
21,help_text,"Бот by @svinerus
Опрос by команда нанопогромистов
Вопросы и предложения @veraPetrovna_bot
Бесплатно Для КПИ"
22,2answrs_LECTOR,Лекції
23,2answrs_PRACTIC,Практики
